[2024-11-28 07:29:54] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInRight.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/bounceInUp.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bob.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-in.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-bounce-out.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz-out.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-buzz.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-float.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow-rotate.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-grow.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-hang.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pop.min.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.css
[2024-11-28 07:29:55] [class-elementor-integration.php:219] Adding elementor bundle asset to queue: http://localhost/website_Karis/wordpress/wp-content/plugins/elementor/assets/lib/animations/styles/e-animation-pulse-grow.min.css
